stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1362,LIBSYIB,LIBERTY PKWY & STUYVESANT NB,,32.046364,-81.138477,,,,
1363,LIBPEIB,LIBERTY PKWY & PENDLETON NB,,32.047881,-81.137946,,,,
1365,LIBTUIB,LIBERTY PKWY & TUSKEEGEE NB,,32.050565,-81.137033,,,,
1366,LIBFIOB,LIBERTY PKWY & FITZGERALD SB,FITZGERALD ST & COLUMBIA AVE,32.051974,-81.136673,,,,
1367,LIBFIB,LIBERTY PKWY & FITZGERALD NB,,32.051777,-81.13663,,,,
1369,52WORIB,52ND & WORTH EB,MILLS B LANE BLVD & ROCKDALE ST,32.051753,-81.131587,,,,
1370,ANDPRI,ANDERSON & PRICE EB,,32.061073,-81.09288,,,,
1371,52RDIB,52ND & ROCKDALE EB,,32.051547,-81.13015,,,,
1372,52ROSIB,52ND & ROSS EB,,32.050106,-81.122488,,,,
1373,52HOIB,52ND & HOPKINS EB,,32.049067,-81.117178,,,,
1374,RVNH,RIVERVIEW NURSING HOME,,32.001777,-81.06358,,,,
1375,LARHOP,LA ROCHE & HOPECREST SB,LA ROCHE AVE & HOPECREST AVE,31.988789,-81.055204,,,,
1376,52STVIB,52ND & STEVENS EB,STEVENS ST & W 52ND ST,32.048682,-81.115614,,,,
1377,52FLOIB,52ND & FLORANCE EB,W 52ND ST & FLORANCE ST,32.04801,-81.11306,,,,
1378,MONWA,MONTGOMERY CROSS & WATERS 2 WB,,31.994296,-81.106153,,,,
1380,MLKAMIB,MLK & AMARANTH NB,MARTIN LUTHER KING JR BLVD & ACACIA ST,32.048971,-81.108826,,,,
1381,MLKORIB,MLK & ORCHARD NB,,32.050632,-81.108156,,,,
1382,EBRGWN,E BROAD & GWINNETT NB,,32.065543,-81.089018,,,,
1383,MLK45IB,MLK & 45TH NB,,32.052346,-81.107561,,,,
1385,MLKVIIB,MLK & VICTORY NB,,32.053773,-81.107019,,,,
1387,MLK39IB,MLK & 39TH NB,,32.056771,-81.105946,,,,
1388,SKIVCIOB,SKIDAWAY & VICTORY SB,,32.041654,-81.063895,,,,
1389,MLK37IB,MLK & 37TH NB,,32.058414,-81.10534,,,,
1390,MLK35IB,MLK & 35TH NB,,32.06011,-81.104734,,,,
1391,MLK33IB,MLK & 33RD NB,,32.06169,-81.104171,,,,
1392,MLKANIB,MLK & ANDERSON NB,MARTIN LUTHER KING JR BLVD & W 31ST ST,32.063673,-81.103448,,,,
1393,MLKPKIB,MLK & PARK NB,,32.066205,-81.102523,,,,
1394,SKIROOB,SKIDAWAY & ROWLAND SB,,32.04055,-81.064533,,,,
1396,SKI49OB,SKIDAWAY & 49TH SB,,32.037193,-81.066353,,,,
1397,SKI51OB,SKIDAWAY & 51ST SB,,32.035937,-81.067023,,,,
